FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.659095287,0.612227082,0.701799512
0.125787579,0.659295499,0.612227082,0.701799512
0.126575158,0.660424829,0.613545835,0.702145934
0.127362736,0.661590993,0.615567923,0.703448296
0.128150315,0.661590993,0.615567923,0.703448296
0.128937894,0.662603736,0.616316617,0.703980088
0.129725473,0.663621426,0.618608534,0.706995904
0.130513051,0.663621426,0.618608534,0.706995904
0.131300630,0.664727986,0.620209038,0.707506478
0.132088209,0.665763676,0.622493446,0.708010316
0.132875788,0.665763676,0.622493446,0.708010316
0.133663366,0.666747808,0.624678671,0.709232092
0.134450945,0.667751968,0.624678671,0.711703956
0.135238524,0.668710470,0.625899255,0.712271988
0.136026103,0.668710470,0.625899255,0.712271988
0.136813681,0.669624269,0.626315773,0.713425100
0.137601260,0.670594215,0.627390981,0.713930368
0.138388839,0.670594215,0.627390981,0.713930368
0.139176418,0.671569526,0.629752040,0.714759529
0.139963996,0.672419250,0.629752040,0.715425551
0.140751575,0.672419250,0.629752040,0.715425551
0.141539154,0.673350871,0.630057812,0.715652168
0.142326733,0.674339235,0.631265938,0.716490686
0.143114311,0.675269246,0.631265938,0.717791438
0.143901890,0.675269246,0.631265938,0.717791438
0.144689469,0.676208138,0.633730829,0.718577087
0.145477048,0.677144825,0.634477258,0.719367564
0.146264626,0.677144825,0.634477258,0.719367564
0.147052205,0.678053498,0.636363626,0.719367564
0.147839784,0.678907812,0.636363626,0.720948637
0.148627363,0.678907812,0.636363626,0.720948637
0.149414941,0.679708481,0.637138009,0.721162558
0.150202520,0.680545509,0.637362659,0.721518993
0.150990099,0.681478918,0.638725877,0.722222209
0.151777678,0.681478918,0.638725877,0.722222209
0.152565257,0.682414651,0.640069366,0.722608685
0.153352835,0.683319449,0.640306115,0.723752141
0.154140414,0.683319449,0.640306115,0.723752141
0.154927993,0.684206426,0.640869558,0.723962724
0.155715572,0.684984505,0.641660035,0.724110663
0.156503150,0.684984505,0.641660035,0.724110663
0.157290729,0.685842633,0.642078817,0.726351380
0.158078308,0.686693490,0.642673492,0.727429092
0.158865887,0.687585831,0.643621385,0.727520406
0.159653465,0.687585831,0.643621385,0.727520406
0.160441044,0.688351870,0.644648850,0.729336977
0.161228623,0.688987553,0.645695388,0.729422092
0.162016202,0.688987553,0.645695388,0.729422092
0.162803780,0.689878881,0.647389531,0.730103791
0.163591359,0.690686107,0.647389531,0.731418908
0.164378938,0.690686107,0.647389531,0.731418908
0.165166517,0.691470206,0.648048937,0.731833935
0.165954095,0.692311883,0.648962677,0.733509243
0.166741674,0.693012476,0.649958253,0.734482765
0.167529253,0.693012476,0.649958253,0.734482765
0.168316832,0.693783343,0.650501668,0.735058010
0.169104410,0.694696426,0.651629090,0.736563861
0.169891989,0.694696426,0.651629090,0.736563861
0.170679568,0.695400119,0.652639627,0.736702144
0.171467147,0.696153462,0.654405475,0.737207294
0.172254725,0.696153462,0.654405475,0.737207294
0.173042304,0.696898699,0.654782593,0.737611711
0.173829883,0.697692037,0.655629158,0.739591837
0.174617462,0.698414922,0.655979216,0.740048766
0.175405041,0.698414922,0.655979216,0.740048766
0.176192619,0.699123144,0.657415450,0.741078854
0.176980198,0.699864209,0.657580912,0.742398620
0.177767777,0.699864209,0.657580912,0.742398620
0.178555356,0.700723171,0.658005059,0.742960930
0.179342934,0.701343358,0.658260882,0.743255019
0.180130513,0.701343358,0.658260882,0.743255019
0.180918092,0.702047288,0.658536613,0.744607449
0.181705671,0.702741086,0.658843279,0.745131254
0.182493249,0.703442633,0.660311937,0.747465432
0.183280828,0.703442633,0.660311937,0.747465432
0.184068407,0.704170644,0.661248922,0.747465432
0.184855986,0.704882741,0.661870480,0.748058677
0.185643564,0.704882741,0.661870480,0.748058677
0.186431143,0.705655515,0.663815200,0.748387098
0.187218722,0.706452489,0.664095998,0.749569714
0.188006301,0.706452489,0.664095998,0.749569714
0.188793879,0.707183599,0.664799988,0.750000000
0.189581458,0.707950950,0.664952874,0.751440346
0.190369037,0.708712220,0.666098833,0.751724124
0.191156616,0.708712220,0.666098833,0.751724124
0.191944194,0.709465206,0.666387260,0.752995372
0.192731773,0.710199475,0.666387975,0.753311276
0.193519352,0.710199475,0.666387975,0.753311276
0.194306931,0.710883915,0.667185068,0.753311276
0.195094509,0.711685300,0.668380439,0.753311276
0.195882088,0.711685300,0.668380439,0.753311276
0.196669667,0.712525785,0.668740273,0.755477667
0.197457246,0.713199079,0.669517875,0.755477667
0.198244824,0.713926136,0.669517875,0.755477667
0.199032403,0.713926136,0.669517875,0.755477667
0.199819982,0.714616060,0.671199977,0.755477667
0.200607561,0.715364337,0.671999991,0.757201672
0.201395140,0.715364337,0.671999991,0.757201672
0.202182718,0.716073871,0.671999991,0.757679164
0.202970297,0.716825306,0.673158348,0.758847713
0.203757876,0.716825306,0.673158348,0.758847713
0.204545455,0.717669547,0.673764884,0.759441733
0.205333033,0.718439877,0.674185455,0.759859800
0.206120612,0.719129145,0.674561381,0.759933770
0.206908191,0.719129145,0.674561381,0.759933770
0.207695770,0.719839334,0.675020874,0.759933770
0.208483348,0.720551491,0.675020874,0.761353493
0.209270927,0.720551491,0.675020874,0.761353493
0.210058506,0.721355975,0.675856292,0.761353493
0.210846085,0.722038448,0.676516354,0.762157381
0.211633663,0.722038448,0.676516354,0.762157381
0.212421242,0.722806931,0.677293956,0.762157381
0.213208821,0.723522246,0.678070188,0.763090134
0.213996400,0.724218726,0.679135501,0.764304042
0.214783978,0.724218726,0.679135501,0.764304042
0.215571557,0.724926293,0.679824591,0.764806867
0.216359136,0.725637794,0.681255162,0.765638769
0.217146715,0.725637794,0.681255162,0.765638769
0.217934293,0.726353288,0.682947755,0.767381966
0.218721872,0.727035761,0.683184385,0.767381966
0.219509451,0.727035761,0.683184385,0.767381966
0.220297030,0.727696776,0.683534145,0.767827511
0.221084608,0.728390157,0.685783505,0.768494368
0.221872187,0.729044974,0.685783505,0.769500434
0.222659766,0.729044974,0.685783505,0.769500434
0.223447345,0.729758322,0.686650693,0.770506918
0.224234923,0.730449319,0.687450051,0.771551728
0.225022502,0.730449319,0.687450051,0.771551728
0.225810081,0.731193841,0.687719285,0.772173941
0.226597660,0.731839120,0.688249409,0.772173941
0.227385239,0.731839120,0.688249409,0.772173941
0.228172817,0.732583165,0.689097106,0.773043454
0.228960396,0.733190358,0.691507816,0.773271918
0.229747975,0.733834684,0.691566288,0.773271918
0.230535554,0.733834684,0.691566288,0.773271918
0.231323132,0.734469235,0.691566288,0.773716271
0.232110711,0.735133410,0.692633390,0.774248898
0.232898290,0.735133410,0.692633390,0.774248898
0.233685869,0.735821068,0.694333613,0.774744034
0.234473447,0.736427367,0.694944322,0.774834454
0.235261026,0.736427367,0.694944322,0.774834454
0.236048605,0.736931145,0.694944322,0.774834454
0.236836184,0.737543702,0.696488321,0.775061131
0.237623762,0.738094985,0.697614968,0.775061131
0.238411341,0.738094985,0.697614968,0.775061131
0.239198920,0.738594234,0.697806656,0.775061131
0.239986499,0.739250243,0.698190808,0.776182413
0.240774077,0.739250243,0.698190808,0.776182413
0.241561656,0.739769876,0.699920177,0.776735485
0.242349235,0.740310550,0.699999988,0.777397275
0.243136814,0.740310550,0.699999988,0.777397275
0.243924392,0.740849495,0.699999988,0.777493596
0.244711971,0.741354108,0.700084984,0.778156996
0.245499550,0.741858542,0.701056063,0.778156996
0.246287129,0.741858542,0.701056063,0.778156996
0.247074707,0.742331147,0.701516390,0.778611660
0.247862286,0.742879808,0.701579392,0.779549718
0.248649865,0.742879808,0.701579392,0.779549718
0.249437444,0.743384778,0.702811241,0.779549718
0.250225023,0.743866205,0.703557312,0.779916346
0.251012601,0.743866205,0.703557312,0.779916346
0.251800180,0.744355321,0.706083953,0.780172408
0.252587759,0.744770408,0.707509875,0.780687392
0.253375338,0.744770408,0.707509875,0.780687392
0.254162916,0.745118499,0.707874656,0.780716717
0.254950495,0.745533824,0.708581150,0.780716717
0.255738074,0.745899081,0.708654642,0.780903637
